reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4620172f-ab4c-4455-9a82-8417db3a4202,Efannurdin Ipan,https://play-lh.googleusercontent.com/a/ACg8ocKSX66cWrmJmzjUSE6GMEBHs7mbMkvIqXXeZDN7kitaliX_PQ=mo,lumayan TPI kadang erorr sampah,5,0,,2026-01-29 12:54:15,"Hi Kak Ipan, maaf kalau sempat bikin kurang nyaman terkait kendala error pada apk DANA. Untuk saat ini, sistem DANA berjalan normal. Silakan dpt coba : 1. Clear cache aplikasi DANA 2. Update ke versi terbaru 3. Restart device Kalau setelah dicoba masih ada kendala, silakan kirim screenshot via DIANA di apk DANA ya. Tks -DS-",2026-01-29 13:08:12,
ac777878-9577-44d5-a134-801fee4fe618,Kuss kussaini,https://play-lh.googleusercontent.com/a-/ALV-UjUrbMtMmbzpwVHLcYTliOK7p_XIE1VFZRosHYrUNmXyI4b4duW-0w,sangat buruk pelayananya baru beberapa hari aplikasi gk bisa di buka,1,0,2.111.0,2026-01-29 12:54:10,"Hi Kak, mohon maaf buat Kakak merasa tidak nyaman atas kendala tidak bisa akses akun DANA. Silakan coba lakukan langkah berikut: 1. Clear cache aplikasi DANA 2. Silakan tutup aplikasi yg tidak digunakan 3. Restart device Kalau setelah dicoba masih ada kendala, silakan kirim screenshot via DIANA di aplikasi DANA ya. Thx -SB-",2026-01-29 13:08:51,2.111.0
6ce8bf94-43e3-4c78-8cbd-c0d3963b52c0,Purkon,https://play-lh.googleusercontent.com/a/ACg8ocIEFphbigjyGKiT0NNvWaltdteGwIp6vF4kqpej-_QkF1T-ng=mo,luar biasa berguna,5,0,2.112.0,2026-01-29 12:52:09,,,2.112.0
4a1debb7-8c14-4f47-bc6e-9ab59e433909,Sumpena Tea,https://play-lh.googleusercontent.com/a-/ALV-UjVdzpGywIVbNlrEeS3vVwz3iuaHHti8Y8UqAjUrCFfjmBVbeY0,bagus,5,0,,2026-01-29 12:45:31,,,
31aa4bae-8a89-4dee-96e5-c06d19b0b26c,Linda Rahangmetan,https://play-lh.googleusercontent.com/a/ACg8ocJnorsqnpsrdyeleZJjLeJcRCYz8iPIaqpn4DGGi4phxO-L4Q=mo,sangat baik,5,0,2.103.1,2026-01-29 12:45:07,,,2.103.1
f61a78f5-a386-4a86-8796-0963c4ad6cec,Sgterompet11,https://play-lh.googleusercontent.com/a/ACg8ocLx37rdYV_jq1hq5rPAU2dYvQWtq26hwJWiaanbkb8LZQtGMg=mo,kebanyakan eror,1,0,,2026-01-29 12:44:20,"Hi Kak, maaf ya kalau sempat bikin kurang nyaman. Kami bantu infokan DANA sedang tidak ada gangguan, terkait kendala di apk DANA boleh coba langkah berikut: 1. Clear cache apk DANA 2. Update ke versi terbaru 3. Restart device Kalau setelah dicoba masih ada kendala, silakan kirim screenshot via DIANA di aplikasi DANA ya. Terima kasih 🙏 -FS-",2026-01-29 13:08:04,
af376445-1a6b-47c7-84c4-9f10ffc50985,Fairus Faza,https://play-lh.googleusercontent.com/a/ACg8ocKOw2wtkOiJBue4Nnv6mmjvs5c89i9J83CCNmurLC39_1Bw7KQ=mo,Sangat bagus buat nabung,5,0,2.108.1,2026-01-29 12:43:36,,,2.108.1
833acf05-5f63-45c9-bb85-c8def7441ec0,Jean Nugraha,https://play-lh.googleusercontent.com/a-/ALV-UjVpwJotSMS7vG_q7VvSCsQQ7bxViEgydPOOv-YQo0ipFPxdvvk,cukup baik,4,0,2.111.0,2026-01-29 12:41:47,,,2.111.0
94afb6b2-3178-4edf-bce6-bfcafa764592,Shak Baanatta,https://play-lh.googleusercontent.com/a/ACg8ocJ34ed5UjG_zZm75KnjAAIfQAQWfK_ni7docme6CToRbRWaVw=mo,sangat membantu sekali terimaka sih...,5,0,2.111.0,2026-01-29 12:41:43,,,2.111.0
c9934ff2-7857-4eb2-9cf8-21249ffb33eb,Melni Biri,https://play-lh.googleusercontent.com/a-/ALV-UjXj1QUUDF9GUZ3rfhGjSDHy-Ra_OuVzIG9BWSMbhpxCfxG-bXmp,membantu,5,0,2.112.0,2026-01-29 12:40:18,,,2.112.0
3d0468d6-afc8-453f-9c09-1d36589658bf,Sarimen Roberto,https://play-lh.googleusercontent.com/a/ACg8ocLqylBjqhBAvUmO4IuZk3SNYVzmwG3WF5YlvJ1XQdIUMr4OZA=mo,susah di buka dana skrng masa dowlohd trs abis kouta saya,5,0,,2026-01-29 12:37:12,"Hi Kak, maaf ya kalau sempat bikin kurang nyaman terkait kendala login diakun DANA, boleh coba langkah berikut: 1. Clear cache aplikasi DANA 2. Update ke versi terbaru 3. Restart device Kalau setelah dicoba masih ada kendala, silakan kirim screenshot via DIANA di aplikasi DANA ya. Thx-SA-",2026-01-29 13:06:52,
5132c7d6-b653-4414-bada-992ee8d638de,Shidqi Pkl,https://play-lh.googleusercontent.com/a/ACg8ocIQmwf4savAEv1E1G0O8vxmoVInMRiFc-Ydz54fLBEHt_6GnQ=mo,baik,5,0,2.112.0,2026-01-29 12:37:08,,,2.112.0
297f6a1a-2469-4e97-b979-94f527631d38,Cocon Tea,https://play-lh.googleusercontent.com/a-/ALV-UjX2Ws7Yy5ms0oKric6NvSpbEWNCtftDMvM8rxiZ6s4MtNd8ybY,bagus,5,0,2.110.0,2026-01-29 12:36:38,,,2.110.0
716064de-ee34-453a-8a9c-3e29e7b84eb2,Garuda 555,https://play-lh.googleusercontent.com/a/ACg8ocL0F1bUYoBM5LGoC_N1667zrK5xcyAZRlYI0XuFpUDU_QDByw=mo,jos,5,0,2.112.0,2026-01-29 12:36:14,,,2.112.0
53d8c8ef-b378-4ad0-be7f-f623c748ef66,Romli Jaya,https://play-lh.googleusercontent.com/a-/ALV-UjUogmKpdtghgrbohrmZ6bJb4F1e_85kHI5MmQqmeXXNzziXSUP4,tolol apklikasi udh d munculin ccln masa iya blm dpt dan cicilan bertahap MENGECEWAKAN OFF PAKAI DANA SKRNG ....DAH KBNYKN POTONG ...BERTAHUNX PAKAI MENGECEWAKAN CUIHHHH GANTI YG LAIN JUGA BNYK .....G RUGI JUGA G PAKAI DANA ORANG DAH BNYK GOPAY SHOPEE PAY JUGA ADA UDH PAYLATER LG ....,1,0,2.112.0,2026-01-29 12:34:57,"Hi Kak Romli, terima kasih kesetiaannya menggunakan DANA ya. Terkait fitur DANA Cicil saat ini tersedia terbatas dan dibuka secara bertahap nih Kak. Kalau Kamu tertarik, bisa coba ajukan lewat Asisten Digital DIANA di aplikasi DANA dengan ketik “Saya mau daftar DANA Cicil"". Pengajuan akan diproses sesuai ketentuan yang berlaku ya Kak. Tks -DS-",2026-01-29 13:10:07,2.112.0
4066ff21-f8f1-4216-a80e-7c93a0d849cc,Riyandi Yandi,https://play-lh.googleusercontent.com/a/ACg8ocI76VIyb7lYHVUWL_EEuKFIqoPb7aNZVy9eEAH-DknZKMCFqQ=mo,sangat bagus,5,0,2.104.0,2026-01-29 12:34:56,,,2.104.0
739e4e9e-52da-4be9-becc-a8d6e2651489,Sabar Setyoroso,https://play-lh.googleusercontent.com/a/ACg8ocLPhk3uVjFFFFF5t5EabIly30JHIHIFEhsRor0Y7jm-sgltpw=mo,good,5,0,2.112.0,2026-01-29 12:34:25,,,2.112.0
9889cac7-97c5-41d3-b5de-1f0a37fff875,Bang Rusli Sm,https://play-lh.googleusercontent.com/a-/ALV-UjUcQGYvh0_KQ_NEnpjs0MWwSC_XaO1wOgy6m3-hOd8EQO1UUwg,aku coba dulu,1,0,,2026-01-29 12:33:31,"Hi Kak Rusli, ada yang dapat kami bantu kak? Jika kamu punya kendala atau pertanyaan seputar app DANA, kamu bisa menghubungi kami melalui DIANA di menu ""Aktivitas/Saya"" pada app DANA kamu, agar tim kami bantu pengecekan ya. Thx -SA-",2026-01-29 13:28:28,
029881f1-73c2-49f7-8856-a647d238d4c4,Wawan Agustin,https://play-lh.googleusercontent.com/a/ACg8ocKO5KfsEMi4LQoQfrKM8jVgSO9ti2WpLsMayZqfBLq2-pHbAg=mo,puas banget,5,0,2.112.0,2026-01-29 12:32:59,,,2.112.0
f1261dc0-f9c7-4580-96eb-84024773a4b0,aris munandar,https://play-lh.googleusercontent.com/a/ACg8ocKuTvXnCQjB6D-slr6ScZW9ac5wfUv-q6a-C6XnjTG8f7x9=mo,aplikasinya sering errol gk jelas.waktu buka sering gk bisa buka . dana sekarang semakin jelek.,1,0,,2026-01-29 12:32:42,"Hi Kak Aris, maaf ya kalau sempat bikin kurang nyaman terkait kendala login, tenang kamu boleh coba langkah berikut: 1. Clear cache aplikasi DANA 2. Update ke versi terbaru 3. Restart device Pastikan koneksi internet stabil/ganti ke jaringan lain (wifi) dan jika masih kendala, hub DIANA di hlm non login agar tim bantu cek ya. Thx-SA-",2026-01-29 13:08:22,
8029a54d-2260-44c5-adf8-acb033f17866,Herman adu Herman,https://play-lh.googleusercontent.com/a/ACg8ocKAV1fEXmFJBrJHdQqd6uYQN9cu_jAS5zY1syOHYFc4QAJXJA=mo,aplikasi nya bagus dan aman,5,0,2.111.0,2026-01-29 12:29:07,,,2.111.0
fbc09517-28b5-42b7-9833-1f98443d2c91,Sunarti,https://play-lh.googleusercontent.com/a/ACg8ocJhH6WNTKi5Ve-e_jfOE8IfJpFyXWiVVZBwSYJJM3f2hLxXZg=mo,bagus transaksi cepat,5,0,,2026-01-29 12:28:35,,,
003fa6d0-c051-43ed-9623-648f497bfa6f,Paulus Saingo,https://play-lh.googleusercontent.com/a/ACg8ocJY2QaWDlEDO0Ss9NJErzVDG5R8-8rmKBhu3H0Bx2xkrXDvwQ=mo,Bagus,5,0,2.112.0,2026-01-29 12:28:26,,,2.112.0
53fb02c7-a9a8-461f-ab1c-e9f5bf71d261,Zahida qolbi nadhifa Nadhifa,https://play-lh.googleusercontent.com/a/ACg8ocIdj6d2Zk2FgMSyDY0bXNdgQfRET7EWZpRXfmnWEfInz7kQ4w=mo,aplikasi parah,1,0,2.112.0,2026-01-29 12:28:20,"Hi Kak Zahida, ada yang dapat kami bantu kak? Jika kamu punya kendala atau pertanyaan seputar app DANA, kamu bisa menghubungi kami melalui DIANA di menu ""Aktivitas/Saya"" pada app DANA kamu, agar tim kami bantu pengecekan ya. Thx -SA-",2026-01-29 13:21:30,2.112.0
e7c391ad-74c1-4c9d-a277-8b08a88dba8b,Joe Hary,https://play-lh.googleusercontent.com/a-/ALV-UjXtJ4OkTmbzX_w9CPyz-PDxsqlb8PKXMoApX2zzI8EA6-I1tYw,mantappp,5,0,2.112.0,2026-01-29 12:28:03,,,2.112.0
cca979c3-b5b2-4dd6-9c68-b518a0dea59e,joni bahtiar,https://play-lh.googleusercontent.com/a-/ALV-UjWbE1k2Hc3GQSIKdwFTaPHti9YCvR6jymjEmUALBPwyj7mABenH,Baru coba tak kasih 5 bintang 🔯,5,0,2.111.0,2026-01-29 12:27:14,,,2.111.0
fc9e84b6-cb1c-4630-a1b7-e73dd26184d7,Nardi Nardi,https://play-lh.googleusercontent.com/a/ACg8ocIPO1DAyTYmWAXvke5ogKywyGFL9OJ0T3QN6LG2jAWUGqQi=mo,"aplikasi bagus, biaya transfer murah, dan ada gratis nya 10x setiap bulan nya",5,0,2.112.0,2026-01-29 12:24:06,,,2.112.0
8eeebf55-f2b6-41a3-81d3-61317105dc09,Samudra Suhendi145,https://play-lh.googleusercontent.com/a/ACg8ocKTxpgKp0ffLAy2HDKYXQ5PKbj7J0zgBxUsN6HnQMU-T5hjiw=mo,luar biasa,5,0,2.112.0,2026-01-29 12:23:50,,,2.112.0
7d3b80aa-4da4-4849-af15-cc44baa6a463,Faisal Nasri,https://play-lh.googleusercontent.com/a-/ALV-UjXK33ZyQQFbtZ7Ax8kIugZPzUmpcgBwLlX0aGZfk7M9i3Ru2VjK,lumayan bagus dan sangat memuaskan,5,0,2.112.0,2026-01-29 12:22:16,,,2.112.0
3a5d3dd3-eaf8-4afd-a269-88d05342d4bd,Fitri Fit,https://play-lh.googleusercontent.com/a/ACg8ocJviznYbedR03RWKKlLJI2tCbimPZa7kPAFT5HJ6N49YQMytw=mo,cukup bagus /cepat,5,0,2.111.0,2026-01-29 12:22:01,,,2.111.0
cf11f493-478f-44e6-accd-ec8192a367fe,Merry lim,https://play-lh.googleusercontent.com/a/ACg8ocKmDydr5kCGcEomICcfsgr5kdtRS7BJA6wCVd1D_2gcHy48HA=mo,blank,1,0,2.111.0,2026-01-29 12:21:48,"Hi Kak Merry, maaf ya kalau sempat bikin kurang nyaman terkait kendala di aplikasi DANA. Boleh coba langkah berikut: 1. Clear cache aplikasi DANA 2. Update ke versi terbaru 3. Restart device Kalau setelah dicoba masih ada kendala, silakan kirim screenshot via DIANA di aplikasi DANA ya. Terima kasih 🙏 -FS-",2026-01-29 13:09:35,2.111.0
